id,retrieval_type,top_k,question,gold_sources,retrieved_sources,matched_source,first_relevant_rank,hit,reciprocal_rank,latency_ms
11,similarity,5,本项目使用什么工具切分长文档？,06_chunking.txt,16_vector_metadata_filter.txt | 17_topk_tradeoff.txt | 12_rag_metadata.txt | 14_semantic_vs_keyword.txt | 06_chunking.txt,06_chunking.txt,5,1,0.2,2133.26
12,similarity,5,文本切分时保留 overlap 有什么作用？,06_chunking.txt | 21_chunk_overlap.txt,21_chunk_overlap.txt | 06_chunking.txt | 22_chunk_size.txt | 14_semantic_vs_keyword.txt | 16_vector_metadata_filter.txt,21_chunk_overlap.txt,1,1,1.0,2201.03
13,similarity,5,本项目使用 Ollama 的主要目的是什么？,07_ollama.txt | 23_ollama_privacy.txt,07_ollama.txt | 23_ollama_privacy.txt | rag_test.txt | 26_streamlit_ui.txt | 16_vector_metadata_filter.txt,07_ollama.txt,1,1,1.0,2098.79
14,similarity,5,Ollama 默认的本地服务地址是什么？,07_ollama.txt,07_ollama.txt | 23_ollama_privacy.txt | rag_test.txt | 26_streamlit_ui.txt | 03_chromadb.txt,07_ollama.txt,1,1,1.0,2151.14
15,similarity,5,系统的后端接口框架和前端框架分别是什么？,08_fastapi_streamlit.txt,26_streamlit_ui.txt | 08_fastapi_streamlit.txt | 17_topk_tradeoff.txt | 14_semantic_vs_keyword.txt | 16_vector_metadata_filter.txt,08_fastapi_streamlit.txt,2,1,0.5,2157.96
16,similarity,5,改进后的 sources 会返回哪些来源信息？,08_fastapi_streamlit.txt | 26_streamlit_ui.txt,26_streamlit_ui.txt | 08_fastapi_streamlit.txt | 18_similarity_redundancy.txt | 11_rag_hallucination.txt | 17_topk_tradeoff.txt,26_streamlit_ui.txt,1,1,1.0,2159.99
17,similarity,5,系统如何判断一个文件是否已经入库且没有发生变化？,09_incremental_ingestion.txt | 27_sha256.txt | 28_manifest.txt,14_semantic_vs_keyword.txt | 11_rag_hallucination.txt | 12_rag_metadata.txt | 16_vector_metadata_filter.txt | 09_incremental_ingestion.txt,09_incremental_ingestion.txt,5,1,0.2,2144.02
18,similarity,5,文件内容发生变化后增量入库会执行什么流程？,09_incremental_ingestion.txt | 28_manifest.txt,26_streamlit_ui.txt | 14_semantic_vs_keyword.txt | 08_fastapi_streamlit.txt | 16_vector_metadata_filter.txt | 11_rag_hallucination.txt,,,0,0.0,2152.42
19,similarity,5,Hit@K 主要评价检索系统的什么能力？,10_evaluation.txt | 29_hit_at_k.txt,29_hit_at_k.txt | 17_topk_tradeoff.txt | 10_evaluation.txt | 24_qwen_role.txt | 30_mrr.txt,29_hit_at_k.txt,1,1,1.0,2175.51
20,similarity,5,MRR 和 Hit@K 的关注重点有什么区别？,10_evaluation.txt,30_mrr.txt | 10_evaluation.txt | 29_hit_at_k.txt | 17_topk_tradeoff.txt | 24_qwen_role.txt,10_evaluation.txt,2,1,0.5,2103.61
21,similarity,5,RAG 为什么能够降低大语言模型产生幻觉的风险？,11_rag_hallucination.txt,11_rag_hallucination.txt | 01_rag_basics.txt | 12_rag_metadata.txt | rag_test.txt | 24_qwen_role.txt,11_rag_hallucination.txt,1,1,1.0,2146.96
22,similarity,5,如果检索阶段返回了错误文档，生成结果可能出现什么问题？,11_rag_hallucination.txt,14_semantic_vs_keyword.txt | 11_rag_hallucination.txt | 17_topk_tradeoff.txt | 16_vector_metadata_filter.txt | 12_rag_metadata.txt,11_rag_hallucination.txt,2,1,0.5,2143.74
23,similarity,5,向量数据库中的 metadata 可以用于哪些功能？,12_rag_metadata.txt | 03_chromadb.txt | 16_vector_metadata_filter.txt,16_vector_metadata_filter.txt | 12_rag_metadata.txt | 03_chromadb.txt | 01_rag_basics.txt | 28_manifest.txt,16_vector_metadata_filter.txt,1,1,1.0,2160.44
24,similarity,5,PDF 文档的页码信息通常存放在哪里？,12_rag_metadata.txt | 08_fastapi_streamlit.txt,12_rag_metadata.txt | 26_streamlit_ui.txt | 11_rag_hallucination.txt | 08_fastapi_streamlit.txt | 16_vector_metadata_filter.txt,12_rag_metadata.txt,1,1,1.0,2110.63
25,similarity,5,当前 nomic-embed-text 输出的向量维度是多少？,13_embedding_dimension.txt | 02_embeddings.txt,13_embedding_dimension.txt | 23_ollama_privacy.txt | 02_embeddings.txt | 07_ollama.txt | 14_semantic_vs_keyword.txt,13_embedding_dimension.txt,1,1,1.0,2155.45
26,similarity,5,为什么更换 Embedding 模型后通常需要重新构建向量库？,13_embedding_dimension.txt,13_embedding_dimension.txt | 02_embeddings.txt | 07_ollama.txt | 14_semantic_vs_keyword.txt | 23_ollama_privacy.txt,13_embedding_dimension.txt,1,1,1.0,2204.18
27,similarity,5,语义检索相比关键词检索有什么优势？,14_semantic_vs_keyword.txt | 02_embeddings.txt,18_similarity_redundancy.txt | 14_semantic_vs_keyword.txt | 16_vector_metadata_filter.txt | 26_streamlit_ui.txt | 17_topk_tradeoff.txt,14_semantic_vs_keyword.txt,2,1,0.5,2084.45
28,similarity,5,表达方式不同但意思相近的问题为什么仍可能被检索出来？,14_semantic_vs_keyword.txt | 02_embeddings.txt,17_topk_tradeoff.txt | 14_semantic_vs_keyword.txt | 09_incremental_ingestion.txt | 13_embedding_dimension.txt | 22_chunk_size.txt,14_semantic_vs_keyword.txt,2,1,0.5,2098.6
29,similarity,5,ChromaDB 持久化存储有什么作用？,15_chroma_persistence.txt | 03_chromadb.txt,03_chromadb.txt | 15_chroma_persistence.txt | 24_qwen_role.txt | rag_test.txt | 27_sha256.txt,03_chromadb.txt,1,1,1.0,2136.18
30,similarity,5,为什么 chroma_db 目录不适合提交到 GitHub？,15_chroma_persistence.txt,15_chroma_persistence.txt | 03_chromadb.txt | 28_manifest.txt | 09_incremental_ingestion.txt | 27_sha256.txt,15_chroma_persistence.txt,1,1,1.0,2139.39
31,similarity,5,向量数据库的 metadata filter 可以实现什么功能？,16_vector_metadata_filter.txt | 12_rag_metadata.txt,16_vector_metadata_filter.txt | 12_rag_metadata.txt | 03_chromadb.txt | 18_similarity_redundancy.txt | 20_mmr_lambda.txt,16_vector_metadata_filter.txt,1,1,1.0,2163.28
32,similarity,5,增量更新时系统如何定位需要删除的旧版本向量？,16_vector_metadata_filter.txt | 09_incremental_ingestion.txt,16_vector_metadata_filter.txt | 09_incremental_ingestion.txt | 12_rag_metadata.txt | 17_topk_tradeoff.txt | 23_ollama_privacy.txt,16_vector_metadata_filter.txt,1,1,1.0,2107.68
33,similarity,5,Top-K 设置得过小可能导致什么问题？,17_topk_tradeoff.txt | 04_similarity.txt,17_topk_tradeoff.txt | 04_similarity.txt | 19_mmr_fetchk.txt | 29_hit_at_k.txt | 10_evaluation.txt,17_topk_tradeoff.txt,1,1,1.0,2072.7
34,similarity,5,为什么不存在对所有数据集都最优的固定 Top-K？,17_topk_tradeoff.txt,17_topk_tradeoff.txt | 04_similarity.txt | 19_mmr_fetchk.txt | 29_hit_at_k.txt | 30_mrr.txt,17_topk_tradeoff.txt,1,1,1.0,2072.57
35,similarity,5,Similarity Search 为什么可能返回多个内容高度重复的 chunk？,18_similarity_redundancy.txt | 04_similarity.txt | 21_chunk_overlap.txt,18_similarity_redundancy.txt | 04_similarity.txt | 21_chunk_overlap.txt | 20_mmr_lambda.txt | 22_chunk_size.txt,18_similarity_redundancy.txt,1,1,1.0,2081.42
36,similarity,5,MMR 能缓解普通相似度检索中的什么问题？,18_similarity_redundancy.txt | 05_mmr.txt,19_mmr_fetchk.txt | 20_mmr_lambda.txt | 05_mmr.txt | 18_similarity_redundancy.txt | 10_evaluation.txt,05_mmr.txt,3,1,0.3333,2161.19
37,similarity,5,MMR 中 fetch_k 和最终 k 的关系通常是什么？,19_mmr_fetchk.txt | 05_mmr.txt,19_mmr_fetchk.txt | 05_mmr.txt | 29_hit_at_k.txt | 10_evaluation.txt | 20_mmr_lambda.txt,19_mmr_fetchk.txt,1,1,1.0,2088.95
38,similarity,5,本项目的默认 mmr_fetch_k 设置为多少？,19_mmr_fetchk.txt | 05_mmr.txt,19_mmr_fetchk.txt | 05_mmr.txt | 20_mmr_lambda.txt | 17_topk_tradeoff.txt | 29_hit_at_k.txt,19_mmr_fetchk.txt,1,1,1.0,2146.11
39,similarity,5,MMR 中 lambda_mult 用来控制什么？,20_mmr_lambda.txt | 05_mmr.txt,20_mmr_lambda.txt | 05_mmr.txt | 19_mmr_fetchk.txt | 18_similarity_redundancy.txt | 29_hit_at_k.txt,20_mmr_lambda.txt,1,1,1.0,2136.59
40,similarity,5,本项目默认的 lambda_mult 是多少？,20_mmr_lambda.txt | 05_mmr.txt,20_mmr_lambda.txt | 05_mmr.txt | 16_vector_metadata_filter.txt | 17_topk_tradeoff.txt | 03_chromadb.txt,20_mmr_lambda.txt,1,1,1.0,2200.12
41,similarity,5,本项目的 chunk_overlap 设置为多少？,21_chunk_overlap.txt | 06_chunking.txt,21_chunk_overlap.txt | 22_chunk_size.txt | 06_chunking.txt | 16_vector_metadata_filter.txt | 18_similarity_redundancy.txt,21_chunk_overlap.txt,1,1,1.0,2135.61
42,similarity,5,chunk_overlap 设置过大会带来什么问题？,21_chunk_overlap.txt | 06_chunking.txt,21_chunk_overlap.txt | 22_chunk_size.txt | 06_chunking.txt | 18_similarity_redundancy.txt | 16_vector_metadata_filter.txt,21_chunk_overlap.txt,1,1,1.0,2160.26
43,similarity,5,本项目默认的 chunk_size 是多少？,22_chunk_size.txt | 06_chunking.txt,22_chunk_size.txt | 21_chunk_overlap.txt | 06_chunking.txt | 16_vector_metadata_filter.txt | 18_similarity_redundancy.txt,22_chunk_size.txt,1,1,1.0,2172.46
44,similarity,5,为什么比较检索算法时应该保持 chunk_size 不变？,22_chunk_size.txt | 06_chunking.txt,22_chunk_size.txt | 06_chunking.txt | 21_chunk_overlap.txt | 16_vector_metadata_filter.txt | 18_similarity_redundancy.txt,22_chunk_size.txt,1,1,1.0,2068.99
45,similarity,5,使用本地 Ollama 对知识库数据隐私有什么好处？,23_ollama_privacy.txt | 07_ollama.txt,07_ollama.txt | 23_ollama_privacy.txt | 26_streamlit_ui.txt | rag_test.txt | 28_manifest.txt,07_ollama.txt,1,1,1.0,2082.53
46,similarity,5,当前项目中哪些模型通过 Ollama 在本地运行？,23_ollama_privacy.txt | 07_ollama.txt,07_ollama.txt | 23_ollama_privacy.txt | 26_streamlit_ui.txt | 09_incremental_ingestion.txt | 28_manifest.txt,07_ollama.txt,1,1,1.0,2158.53
47,similarity,5,Qwen2.5 3B 在这个 RAG 系统中承担什么职责？,24_qwen_role.txt | 07_ollama.txt,24_qwen_role.txt | rag_test.txt | 11_rag_hallucination.txt | 01_rag_basics.txt | 10_evaluation.txt,24_qwen_role.txt,1,1,1.0,2154.47
48,similarity,5,Hit@K 和 MRR 主要评测生成模型还是检索器？,24_qwen_role.txt | 10_evaluation.txt,29_hit_at_k.txt | 10_evaluation.txt | 30_mrr.txt | 17_topk_tradeoff.txt | 24_qwen_role.txt,10_evaluation.txt,2,1,0.5,2181.31
49,similarity,5,系统的问答 API 路径是什么？,25_fastapi_endpoint.txt | 08_fastapi_streamlit.txt,25_fastapi_endpoint.txt | 08_fastapi_streamlit.txt | 26_streamlit_ui.txt | 07_ollama.txt | 23_ollama_privacy.txt,25_fastapi_endpoint.txt,1,1,1.0,2168.95
50,similarity,5,FastAPI 的 Swagger 页面在开发中可以用来做什么？,25_fastapi_endpoint.txt,25_fastapi_endpoint.txt | 08_fastapi_streamlit.txt | 26_streamlit_ui.txt | 29_hit_at_k.txt | 17_topk_tradeoff.txt,25_fastapi_endpoint.txt,1,1,1.0,2181.61
1,mmr,3,RAG 的主要作用是什么？,01_rag_basics.txt,11_rag_hallucination.txt | 12_rag_metadata.txt | 22_chunk_size.txt,,,0,0.0,2085.39
2,mmr,3,为什么更新 RAG 知识库通常不需要重新训练大语言模型？,01_rag_basics.txt,11_rag_hallucination.txt | 12_rag_metadata.txt | 10_evaluation.txt,,,0,0.0,2151.71
3,mmr,3,Embedding 在 RAG 系统中主要负责什么？,02_embeddings.txt,01_rag_basics.txt | 11_rag_hallucination.txt | 13_embedding_dimension.txt,,,0,0.0,2154.95
4,mmr,3,当前项目使用的本地文本向量模型是什么？,02_embeddings.txt | 07_ollama.txt | 13_embedding_dimension.txt | 23_ollama_privacy.txt | rag_test.txt,16_vector_metadata_filter.txt | 26_streamlit_ui.txt | 04_similarity.txt,,,0,0.0,2178.2
5,mmr,3,本项目使用哪个数据库存储文本向量？,03_chromadb.txt | 15_chroma_persistence.txt | rag_test.txt,16_vector_metadata_filter.txt | 04_similarity.txt | 26_streamlit_ui.txt,,,0,0.0,2074.26
6,mmr,3,ChromaDB 除了向量以外还可以保存哪些信息？,03_chromadb.txt | 12_rag_metadata.txt,03_chromadb.txt | 15_chroma_persistence.txt | 17_topk_tradeoff.txt,03_chromadb.txt,1,1,1.0,2099.38
7,mmr,3,Similarity Search 中的 Top-K 表示什么？,04_similarity.txt | 17_topk_tradeoff.txt,04_similarity.txt | 18_similarity_redundancy.txt | 17_topk_tradeoff.txt,04_similarity.txt,1,1,1.0,2178.42
8,mmr,3,普通相似度检索可能存在哪种结果冗余问题？,04_similarity.txt | 18_similarity_redundancy.txt | 21_chunk_overlap.txt,18_similarity_redundancy.txt | 26_streamlit_ui.txt | 27_sha256.txt,18_similarity_redundancy.txt,1,1,1.0,2096.75
9,mmr,3,MMR 检索相比普通相似度检索增加了什么考虑？,05_mmr.txt | 18_similarity_redundancy.txt,19_mmr_fetchk.txt | 18_similarity_redundancy.txt | 10_evaluation.txt,18_similarity_redundancy.txt,2,1,0.5,2147.71
10,mmr,3,MMR 为什么通常需要先获取 fetch_k 个候选文本？,05_mmr.txt | 19_mmr_fetchk.txt,19_mmr_fetchk.txt | 20_mmr_lambda.txt | 24_qwen_role.txt,19_mmr_fetchk.txt,1,1,1.0,2153.33
11,mmr,3,本项目使用什么工具切分长文档？,06_chunking.txt,16_vector_metadata_filter.txt | 04_similarity.txt | 19_mmr_fetchk.txt,,,0,0.0,2152.0
12,mmr,3,文本切分时保留 overlap 有什么作用？,06_chunking.txt | 21_chunk_overlap.txt,21_chunk_overlap.txt | 14_semantic_vs_keyword.txt | 12_rag_metadata.txt,21_chunk_overlap.txt,1,1,1.0,2161.72
13,mmr,3,本项目使用 Ollama 的主要目的是什么？,07_ollama.txt | 23_ollama_privacy.txt,07_ollama.txt | 26_streamlit_ui.txt | 22_chunk_size.txt,07_ollama.txt,1,1,1.0,2154.67
14,mmr,3,Ollama 默认的本地服务地址是什么？,07_ollama.txt,07_ollama.txt | 23_ollama_privacy.txt | 26_streamlit_ui.txt,07_ollama.txt,1,1,1.0,2160.92
15,mmr,3,系统的后端接口框架和前端框架分别是什么？,08_fastapi_streamlit.txt,26_streamlit_ui.txt | 22_chunk_size.txt | 04_similarity.txt,,,0,0.0,2155.35
16,mmr,3,改进后的 sources 会返回哪些来源信息？,08_fastapi_streamlit.txt | 26_streamlit_ui.txt,26_streamlit_ui.txt | 18_similarity_redundancy.txt | 12_rag_metadata.txt,26_streamlit_ui.txt,1,1,1.0,2150.08
17,mmr,3,系统如何判断一个文件是否已经入库且没有发生变化？,09_incremental_ingestion.txt | 27_sha256.txt | 28_manifest.txt,14_semantic_vs_keyword.txt | 12_rag_metadata.txt | 08_fastapi_streamlit.txt,,,0,0.0,2178.94
18,mmr,3,文件内容发生变化后增量入库会执行什么流程？,09_incremental_ingestion.txt | 28_manifest.txt,14_semantic_vs_keyword.txt | 08_fastapi_streamlit.txt | 12_rag_metadata.txt,,,0,0.0,2092.77
19,mmr,3,Hit@K 主要评价检索系统的什么能力？,10_evaluation.txt | 29_hit_at_k.txt,29_hit_at_k.txt | 24_qwen_role.txt | 26_streamlit_ui.txt,29_hit_at_k.txt,1,1,1.0,2146.92
20,mmr,3,MRR 和 Hit@K 的关注重点有什么区别？,10_evaluation.txt,30_mrr.txt | 29_hit_at_k.txt | 24_qwen_role.txt,,,0,0.0,2165.78
21,mmr,3,RAG 为什么能够降低大语言模型产生幻觉的风险？,11_rag_hallucination.txt,11_rag_hallucination.txt | 12_rag_metadata.txt | 25_fastapi_endpoint.txt,11_rag_hallucination.txt,1,1,1.0,2138.42
22,mmr,3,如果检索阶段返回了错误文档，生成结果可能出现什么问题？,11_rag_hallucination.txt,14_semantic_vs_keyword.txt | 11_rag_hallucination.txt | 08_fastapi_streamlit.txt,11_rag_hallucination.txt,2,1,0.5,2271.08
23,mmr,3,向量数据库中的 metadata 可以用于哪些功能？,12_rag_metadata.txt | 03_chromadb.txt | 16_vector_metadata_filter.txt,16_vector_metadata_filter.txt | 12_rag_metadata.txt | 20_mmr_lambda.txt,16_vector_metadata_filter.txt,1,1,1.0,2086.03
24,mmr,3,PDF 文档的页码信息通常存放在哪里？,12_rag_metadata.txt | 08_fastapi_streamlit.txt,12_rag_metadata.txt | 26_streamlit_ui.txt | 04_similarity.txt,12_rag_metadata.txt,1,1,1.0,2122.22
25,mmr,3,当前 nomic-embed-text 输出的向量维度是多少？,13_embedding_dimension.txt | 02_embeddings.txt,13_embedding_dimension.txt | 23_ollama_privacy.txt | 26_streamlit_ui.txt,13_embedding_dimension.txt,1,1,1.0,2072.61
26,mmr,3,为什么更换 Embedding 模型后通常需要重新构建向量库？,13_embedding_dimension.txt,13_embedding_dimension.txt | 07_ollama.txt | 03_chromadb.txt,13_embedding_dimension.txt,1,1,1.0,2087.87
27,mmr,3,语义检索相比关键词检索有什么优势？,14_semantic_vs_keyword.txt | 02_embeddings.txt,18_similarity_redundancy.txt | 16_vector_metadata_filter.txt | 26_streamlit_ui.txt,,,0,0.0,2084.12
28,mmr,3,表达方式不同但意思相近的问题为什么仍可能被检索出来？,14_semantic_vs_keyword.txt | 02_embeddings.txt,14_semantic_vs_keyword.txt | 22_chunk_size.txt | 26_streamlit_ui.txt,14_semantic_vs_keyword.txt,1,1,1.0,2107.94
29,mmr,3,ChromaDB 持久化存储有什么作用？,15_chroma_persistence.txt | 03_chromadb.txt,03_chromadb.txt | 27_sha256.txt | 30_mrr.txt,03_chromadb.txt,1,1,1.0,2082.36
30,mmr,3,为什么 chroma_db 目录不适合提交到 GitHub？,15_chroma_persistence.txt,15_chroma_persistence.txt | 03_chromadb.txt | 28_manifest.txt,15_chroma_persistence.txt,1,1,1.0,2072.4
31,mmr,3,向量数据库的 metadata filter 可以实现什么功能？,16_vector_metadata_filter.txt | 12_rag_metadata.txt,16_vector_metadata_filter.txt | 20_mmr_lambda.txt | 08_fastapi_streamlit.txt,16_vector_metadata_filter.txt,1,1,1.0,2073.68
32,mmr,3,增量更新时系统如何定位需要删除的旧版本向量？,16_vector_metadata_filter.txt | 09_incremental_ingestion.txt,16_vector_metadata_filter.txt | 17_topk_tradeoff.txt | 26_streamlit_ui.txt,16_vector_metadata_filter.txt,1,1,1.0,2084.31
33,mmr,3,Top-K 设置得过小可能导致什么问题？,17_topk_tradeoff.txt | 04_similarity.txt,17_topk_tradeoff.txt | 04_similarity.txt | 26_streamlit_ui.txt,17_topk_tradeoff.txt,1,1,1.0,2096.43
34,mmr,3,为什么不存在对所有数据集都最优的固定 Top-K？,17_topk_tradeoff.txt,17_topk_tradeoff.txt | 04_similarity.txt | 26_streamlit_ui.txt,17_topk_tradeoff.txt,1,1,1.0,2109.22
35,mmr,3,Similarity Search 为什么可能返回多个内容高度重复的 chunk？,18_similarity_redundancy.txt | 04_similarity.txt | 21_chunk_overlap.txt,18_similarity_redundancy.txt | 04_similarity.txt | 22_chunk_size.txt,18_similarity_redundancy.txt,1,1,1.0,2082.06
36,mmr,3,MMR 能缓解普通相似度检索中的什么问题？,18_similarity_redundancy.txt | 05_mmr.txt,19_mmr_fetchk.txt | 18_similarity_redundancy.txt | 10_evaluation.txt,18_similarity_redundancy.txt,2,1,0.5,2074.61
37,mmr,3,MMR 中 fetch_k 和最终 k 的关系通常是什么？,19_mmr_fetchk.txt | 05_mmr.txt,19_mmr_fetchk.txt | 29_hit_at_k.txt | 24_qwen_role.txt,19_mmr_fetchk.txt,1,1,1.0,2105.44
38,mmr,3,本项目的默认 mmr_fetch_k 设置为多少？,19_mmr_fetchk.txt | 05_mmr.txt,19_mmr_fetchk.txt | 20_mmr_lambda.txt | 24_qwen_role.txt,19_mmr_fetchk.txt,1,1,1.0,2076.5
39,mmr,3,MMR 中 lambda_mult 用来控制什么？,20_mmr_lambda.txt | 05_mmr.txt,20_mmr_lambda.txt | 19_mmr_fetchk.txt | 29_hit_at_k.txt,20_mmr_lambda.txt,1,1,1.0,2069.97
40,mmr,3,本项目默认的 lambda_mult 是多少？,20_mmr_lambda.txt | 05_mmr.txt,20_mmr_lambda.txt | 16_vector_metadata_filter.txt | 26_streamlit_ui.txt,20_mmr_lambda.txt,1,1,1.0,2095.55
41,mmr,3,本项目的 chunk_overlap 设置为多少？,21_chunk_overlap.txt | 06_chunking.txt,21_chunk_overlap.txt | 22_chunk_size.txt | 16_vector_metadata_filter.txt,21_chunk_overlap.txt,1,1,1.0,2064.99
42,mmr,3,chunk_overlap 设置过大会带来什么问题？,21_chunk_overlap.txt | 06_chunking.txt,21_chunk_overlap.txt | 22_chunk_size.txt | 06_chunking.txt,21_chunk_overlap.txt,1,1,1.0,2104.21
43,mmr,3,本项目默认的 chunk_size 是多少？,22_chunk_size.txt | 06_chunking.txt,22_chunk_size.txt | 16_vector_metadata_filter.txt | 20_mmr_lambda.txt,22_chunk_size.txt,1,1,1.0,2102.78
44,mmr,3,为什么比较检索算法时应该保持 chunk_size 不变？,22_chunk_size.txt | 06_chunking.txt,22_chunk_size.txt | 18_similarity_redundancy.txt | 12_rag_metadata.txt,22_chunk_size.txt,1,1,1.0,2098.84
45,mmr,3,使用本地 Ollama 对知识库数据隐私有什么好处？,23_ollama_privacy.txt | 07_ollama.txt,07_ollama.txt | 23_ollama_privacy.txt | 26_streamlit_ui.txt,07_ollama.txt,1,1,1.0,2090.98
46,mmr,3,当前项目中哪些模型通过 Ollama 在本地运行？,23_ollama_privacy.txt | 07_ollama.txt,07_ollama.txt | 26_streamlit_ui.txt | 04_similarity.txt,07_ollama.txt,1,1,1.0,2139.74
47,mmr,3,Qwen2.5 3B 在这个 RAG 系统中承担什么职责？,24_qwen_role.txt | 07_ollama.txt,24_qwen_role.txt | 12_rag_metadata.txt | 23_ollama_privacy.txt,24_qwen_role.txt,1,1,1.0,2095.41
48,mmr,3,Hit@K 和 MRR 主要评测生成模型还是检索器？,24_qwen_role.txt | 10_evaluation.txt,29_hit_at_k.txt | 30_mrr.txt | 24_qwen_role.txt,24_qwen_role.txt,3,1,0.3333,2208.79
49,mmr,3,系统的问答 API 路径是什么？,25_fastapi_endpoint.txt | 08_fastapi_streamlit.txt,25_fastapi_endpoint.txt | 07_ollama.txt | 16_vector_metadata_filter.txt,25_fastapi_endpoint.txt,1,1,1.0,2104.64
50,mmr,3,FastAPI 的 Swagger 页面在开发中可以用来做什么？,25_fastapi_endpoint.txt,25_fastapi_endpoint.txt | 26_streamlit_ui.txt | 29_hit_at_k.txt,25_fastapi_endpoint.txt,1,1,1.0,2097.07
1,mmr,4,RAG 的主要作用是什么？,01_rag_basics.txt,11_rag_hallucination.txt | 12_rag_metadata.txt | 10_evaluation.txt | 22_chunk_size.txt,,,0,0.0,2249.86
2,mmr,4,为什么更新 RAG 知识库通常不需要重新训练大语言模型？,01_rag_basics.txt,11_rag_hallucination.txt | 01_rag_basics.txt | 12_rag_metadata.txt | 10_evaluation.txt,01_rag_basics.txt,2,1,0.5,2084.67
3,mmr,4,Embedding 在 RAG 系统中主要负责什么？,02_embeddings.txt,01_rag_basics.txt | 11_rag_hallucination.txt | 13_embedding_dimension.txt | 12_rag_metadata.txt,,,0,0.0,2088.02
4,mmr,4,当前项目使用的本地文本向量模型是什么？,02_embeddings.txt | 07_ollama.txt | 13_embedding_dimension.txt | 23_ollama_privacy.txt | rag_test.txt,16_vector_metadata_filter.txt | 23_ollama_privacy.txt | 26_streamlit_ui.txt | 04_similarity.txt,23_ollama_privacy.txt,2,1,0.5,2117.61
5,mmr,4,本项目使用哪个数据库存储文本向量？,03_chromadb.txt | 15_chroma_persistence.txt | rag_test.txt,16_vector_metadata_filter.txt | 04_similarity.txt | 14_semantic_vs_keyword.txt | 26_streamlit_ui.txt,,,0,0.0,2138.51
6,mmr,4,ChromaDB 除了向量以外还可以保存哪些信息？,03_chromadb.txt | 12_rag_metadata.txt,03_chromadb.txt | 15_chroma_persistence.txt | 11_rag_hallucination.txt | 17_topk_tradeoff.txt,03_chromadb.txt,1,1,1.0,2080.46
7,mmr,4,Similarity Search 中的 Top-K 表示什么？,04_similarity.txt | 17_topk_tradeoff.txt,04_similarity.txt | 18_similarity_redundancy.txt | 17_topk_tradeoff.txt | 03_chromadb.txt,04_similarity.txt,1,1,1.0,2090.91
8,mmr,4,普通相似度检索可能存在哪种结果冗余问题？,04_similarity.txt | 18_similarity_redundancy.txt | 21_chunk_overlap.txt,18_similarity_redundancy.txt | 14_semantic_vs_keyword.txt | 26_streamlit_ui.txt | 27_sha256.txt,18_similarity_redundancy.txt,1,1,1.0,2098.24
9,mmr,4,MMR 检索相比普通相似度检索增加了什么考虑？,05_mmr.txt | 18_similarity_redundancy.txt,19_mmr_fetchk.txt | 18_similarity_redundancy.txt | 10_evaluation.txt | 16_vector_metadata_filter.txt,18_similarity_redundancy.txt,2,1,0.5,2110.04
10,mmr,4,MMR 为什么通常需要先获取 fetch_k 个候选文本？,05_mmr.txt | 19_mmr_fetchk.txt,19_mmr_fetchk.txt | 05_mmr.txt | 20_mmr_lambda.txt | 24_qwen_role.txt,19_mmr_fetchk.txt,1,1,1.0,2076.06
11,mmr,4,本项目使用什么工具切分长文档？,06_chunking.txt,16_vector_metadata_filter.txt | 14_semantic_vs_keyword.txt | 04_similarity.txt | 19_mmr_fetchk.txt,,,0,0.0,2074.09
12,mmr,4,文本切分时保留 overlap 有什么作用？,06_chunking.txt | 21_chunk_overlap.txt,21_chunk_overlap.txt | 14_semantic_vs_keyword.txt | 12_rag_metadata.txt | 04_similarity.txt,21_chunk_overlap.txt,1,1,1.0,2099.07
13,mmr,4,本项目使用 Ollama 的主要目的是什么？,07_ollama.txt | 23_ollama_privacy.txt,07_ollama.txt | 26_streamlit_ui.txt | 20_mmr_lambda.txt | 22_chunk_size.txt,07_ollama.txt,1,1,1.0,2070.09
14,mmr,4,Ollama 默认的本地服务地址是什么？,07_ollama.txt,07_ollama.txt | 23_ollama_privacy.txt | 26_streamlit_ui.txt | 17_topk_tradeoff.txt,07_ollama.txt,1,1,1.0,2075.02
15,mmr,4,系统的后端接口框架和前端框架分别是什么？,08_fastapi_streamlit.txt,26_streamlit_ui.txt | 22_chunk_size.txt | 04_similarity.txt | 11_rag_hallucination.txt,,,0,0.0,2098.89
16,mmr,4,改进后的 sources 会返回哪些来源信息？,08_fastapi_streamlit.txt | 26_streamlit_ui.txt,26_streamlit_ui.txt | 18_similarity_redundancy.txt | 11_rag_hallucination.txt | 12_rag_metadata.txt,26_streamlit_ui.txt,1,1,1.0,2074.89
17,mmr,4,系统如何判断一个文件是否已经入库且没有发生变化？,09_incremental_ingestion.txt | 27_sha256.txt | 28_manifest.txt,14_semantic_vs_keyword.txt | 12_rag_metadata.txt | 08_fastapi_streamlit.txt | 18_similarity_redundancy.txt,,,0,0.0,2091.28
18,mmr,4,文件内容发生变化后增量入库会执行什么流程？,09_incremental_ingestion.txt | 28_manifest.txt,14_semantic_vs_keyword.txt | 08_fastapi_streamlit.txt | 12_rag_metadata.txt | 18_similarity_redundancy.txt,,,0,0.0,2099.25
